ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size
caesar,"César, Jules (0100-0044 av. J.-C.)",-0100,-0100,-0044,-0044,basnage,5
caesar,"César, Jules (0100-0044 av. J.-C.)",-0100,-0100,-0044,-0044,berault,3
caesar,"César, Jules (0100-0044 av. J.-C.)",-0100,-0100,-0044,-0044,pesnelle,1
caesar,"César, Jules (0100-0044 av. J.-C.)",-0100,-0100,-0044,-0044,terrien,2
cassiod,Cassiodore (0490?-0580?),0490,0490,0580,0580,basnage,2
cassiod,Cassiodore (0490?-0580?),0490,0490,0580,0580,berault,7
cassiod,Cassiodore (0490?-0580?),0490,0490,0580,0580,pesnelle,1
cassius,cassius,0155,0155,0235,0235,berault,4
caton,"Cato, Valerius (0090-0001 av. J.C.)",-0090,-0090,-0001,-0001,basnage,2
caton,"Cato, Valerius (0090-0001 av. J.C.)",-0090,-0090,-0001,-0001,berault,1
catulle,Catulle (0087?-0052? av. J.-C.),-0087,-0087,-0052,-0052,basnage,2
celse,celse,0100,0199,0100,0199,basnage,3
celse,celse,0100,0199,0100,0199,berault,4
celse,celse,0100,0199,0100,0199,terrien,1
cicero,Cicéron (0106-0043 av. J.-C.),-0106,-0106,-0043,-0043,basnage,18
cicero,Cicéron (0106-0043 av. J.-C.),-0106,-0106,-0043,-0043,berault,12
cicero,Cicéron (0106-0043 av. J.-C.),-0106,-0106,-0043,-0043,pesnelle,2
cicero,Cicéron (0106-0043 av. J.-C.),-0106,-0106,-0043,-0043,terrien,40
clem-alex,Clément d'Alexandrie (0150?-021.?),0150,0150,0250,0250,basnage,1
clement-1,Clément I (00..-0097? ; pape),0001,0099,0101,0199,basnage,1
curtius,Quinte-Curce (00..-00..),0001,0099,0001,0099,basnage,1
denis-le-petit,Denys le Petit (0497?-0545?),0497,0497,0545,0545,basnage,1
diocletien,Dioclétien (0245-0313 ; empereur romain),0245,0245,0313,0313,basnage,4
diocletien,Dioclétien (0245-0313 ; empereur romain),0245,0245,0313,0313,terrien,1
diod,Diodore de Sicile (0090?-0020? av. J.-C.),-0090,-0090,-0020,-0020,basnage,2
ennius,"Ennius, Quintus (0239-0169 av. J.-C.)",-0239,-0239,-0169,-0169,basnage,1
firmicus,"Firmicus Maternus, Julius",0300,0399,0400,0499,basnage,1
fortunat,Venance Fortunat (0530-0601 ; saint),0530,0530,0601,0601,basnage,1
galien,galien,0131,0131,0201,0201,berault,1
gelase,gelase,0400,0499,0500,0599,basnage,5
greg-1,Grégoire I (0540?-0604 ; pape),0540,0540,0604,0604,basnage,4
greg-1,Grégoire I (0540?-0604 ; pape),0540,0540,0604,0604,berault,1
greg-1,Grégoire I (0540?-0604 ; pape),0540,0540,0604,0604,pesnelle,1
greg-3,greg-3,0540,0540,0604,0604,basnage,2
