id,ConDÉ name,found,IdRef name,BnF,IdRef,earliest birth,latest birth,earliest death,latest death
aimoin,Aimoin Fleury (de),yes,Aimoin de Fleury (0965?-1010?),http://data.bnf.fr/ark:/12148/cb125156680,http://www.idref.fr/073948217/id,0965,0965,1010,1010
eginhard,Eginhard ,yes,Eginhard (0770?-0840),http://data.bnf.fr/ark:/12148/cb11930094n,http://www.idref.fr/027209040/id,0770,0770,0840,0840
cujas,Jacques Cujas,yes,"Cujas, Jacques (1522-1590)",http://data.bnf.fr/ark:/12148/cb13008755q,http://www.idref.fr/056521499/id,1522,1522,1590,1590
nithard,Nithard,yes,Nithard (0800?-0844),http://data.bnf.fr/ark:/12148/cb12292389j,http://www.idref.fr/03177038X/id,0800,0800,0844,0844
bureus,Anders Bure,no,,,,1571,1571,1646,1646
herold,Johann Berthold Herold,no,,,,none,none,none,none
agobard,Agobard,yes,Agobard (0779-0840 ; saint),http://data.bnf.fr/ark:/12148/cb13194949d,http://www.idref.fr/035531282/id,0779,0779,0840,0840
glanville,Ranulph Glanville (de),yes,"Glanville, Ranulph de (11..-1190?)",http://data.bnf.fr/ark:/12148/cb123090302,http://www.idref.fr/110882946/id,1100,1199,,
littleton,Thomas Littleton,yes,"Littleton, Thomas (1422?-1481)",http://data.bnf.fr/ark:/12148/cb12424635t,http://www.idref.fr/068634439/id,1422,1422,1481,1481
le-rouille,Guillaume Le Rouillé,yes,"Le Rouillé, Guillaume (1494-1555)",http://data.bnf.fr/ark:/12148/cb10551127m,http://www.idref.fr/14848011X/id,1494,1494,1550,1550
breton,Guillaume Le Breton,yes,Guillaume le Breton (1165?-1226?),http://data.bnf.fr/ark:/12148/cb12989832n,http://www.idref.fr/033453667/id,1165,1165,1226,1226
fontaines,Pierre Fontaines (de),no,,,,1200,1299,1200,1299
brodeau,Julien Brodeau,no,,,,1585,1585,1653,1653
arg,Bertrand Argentré (d'),yes,"Argentré, Bertrand d' (1519-1590)",http://data.bnf.fr/ark:/12148/cb125453752,http://www.idref.fr/067055745/id,1519,1519,1590,1590
goveanus,Antonio Gouveia (de),yes,"Gouveia, Antonio de (1505?-1566?)",http://data.bnf.fr/ark:/12148/cb11905592x,http://www.idref.fr/061743828/id,1505,1505,1566,1566
duaren,François Douaren,yes,"Douaren, François (1509-1559)",http://data.bnf.fr/ark:/12148/cb10667198z,http://www.idref.fr/06892674X/id,1509,1509,1559,1559
greg-tolo,Pierre Grégoire,yes,"Grégoire, Pierre (1540 ?-1597)",http://data.bnf.fr/ark:/12148/cb12200220z,http://www.idref.fr/030623677/id,1540,1540,1597,1597
coquille,Guy Coquille,yes,"Coquille, Guy (1523-1603)",http://data.bnf.fr/ark:/12148/cb121034609,http://www.idref.fr/029398568/id,1523,1523,1603,1603
