Author,From,To,Param
Cassiodore,0490,0580,Vie (certaine)
Julius Firmicus Maternus,0399,0400,Vie (certaine)
Julius Firmicus Maternus,0300,0399,Naissance (imprécis)
Julius Firmicus Maternus,0400,0499,Mort (imprécis)
Clément d'Alexandrie,0150,,Vie (certaine)
Xénophon,-0430,-0355,Vie (certaine)
Plutarque,0046,0120,Vie (certaine)
Hippocrate,-0460,-0377,Vie (certaine)
Hermogénien,0299,0200,Vie (certaine)
Hermogénien,0200,0299,Naissance (imprécis)
Hermogénien,0200,0299,Mort (imprécis)
Celse,0199,0100,Vie (certaine)
Celse,0100,0199,Naissance (imprécis)
Celse,0100,0199,Mort (imprécis)
Tite Live,-0059,0027,Vie (certaine)
Marcellin Ammien,0330,0395,Vie (certaine)
Hérodote,-0484,-0420,Vie (certaine)
Paulus,0199,0200,Vie (certaine)
Paulus,0100,0199,Naissance (imprécis)
Paulus,0200,0299,Mort (imprécis)
Sidoine Apollinaire,0431,0487,Vie (certaine)
Quintus Ennius,-0239,-0169,Vie (certaine)
Catulle,-0087,-0052,Vie (certaine)
Lucius Neratius Priscus ,0099,0100,Vie (certaine)
Lucius Neratius Priscus ,0001,0099,Naissance (imprécis)
Lucius Neratius Priscus ,0100,0199,Mort (imprécis)
Lycurgue,-0390,-0324,Vie (certaine)
Tiberius Catius Silius Italicus,0025,0101,Vie (certaine)
Caton,-0090,-0001,Vie (certaine)
Aristophane,-0445,-0386,Vie (certaine)
Labéon,-0050,0020,Vie (certaine)
Clément I,0099,,Vie (certaine)
Clément I,0001,0099,Naissance (imprécis)
Pompée,-0075,-0035,Vie (certaine)
Siculus Flaccus ,0199,0100,Vie (certaine)
Siculus Flaccus ,0100,0199,Naissance (imprécis)
Siculus Flaccus ,0100,0199,Mort (imprécis)
Appius Claudius Caecus,-0300,-0299,Vie (certaine)
Appius Claudius Caecus,-0399,-0300,Naissance (imprécis)
Appius Claudius Caecus,-0299,-0200,Mort (imprécis)
Alexandre Sévère,0208,0235,Vie (certaine)
Dion Cassius,0155,0235,Vie (certaine)
Innocent I,0399,,Vie (certaine)
Innocent I,0300,0399,Naissance (imprécis)
Galien,0131,0201,Vie (certaine)
Caius Velleius Paterculus,-0019,0031,Vie (certaine)
Valentinien,0419,0455,Vie (certaine)
Sextus Pomponius,0199,0100,Vie (certaine)
Sextus Pomponius,0100,0199,Naissance (imprécis)
Sextus Pomponius,0100,0199,Mort (imprécis)
